"Order_ID","Order_Date","Ship_Date","Ship_Mode","Segment","Country","City","State","Postal_Code","Region","Product_ID","Category","Sub_Category","Product_Name","Sales","Quantity","Discount","Profit","Person","Returned","total_cost","price_per_unit"
CA-2016-111682,"6/17/2016","6/18/2016",First Class,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,Chuck Magee,No,0.84,1.6799999475479126
CA-2017-159954,"9/10/2017","9/14/2017",Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders,2.78,1,0.0,1.36,Cassandra Brandow,No,1.42,2.7799999713897705
CA-2017-154214,"3/20/2017","3/25/2017",Second Class,Consumer,United States,Columbus,Indiana,47201,Central,FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",2.91,1,0.0,1.37,Kelly Williams,No,1.5400001,2.9100000858306885
CA-2017-156391,"9/26/2017","9/28/2017",First Class,Home Office,United States,Salem,Oregon,97301,West,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,2.22,1,0.2,0.56,Anna Andreadi,No,1.6600001,2.775000046100468
US-2015-128090,"8/16/2015","8/22/2015",Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,OFF-AR-10002255,Office Supplies,Art,Newell 346,2.3,1,0.2,0.26,Anna Andreadi,No,2.04,2.874999951105565
CA-2016-145583,"10/13/2016","10/19/2016",Standard Class,Consumer,United States,Roseville,California,95661,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0.0,1.97,Anna Andreadi,No,2.05,2.009999990463257
CA-2014-133690,"8/3/2014","8/5/2014",First Class,Consumer,United States,Denver,Colorado,80219,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.29,Anna Andreadi,No,2.31,3.2499998928979035
CA-2015-144267,"8/21/2015","8/23/2015",First Class,Home Office,United States,San Francisco,California,94110,West,OFF-PA-10003657,Office Supplies,Paper,Xerox 1927,4.28,1,0.0,1.93,Anna Andreadi,No,2.3500004,4.28000020980835
CA-2016-105291,"10/30/2016","11/4/2016",Standard Class,Consumer,United States,San Luis Obispo,California,93405,West,OFF-FA-10003059,Office Supplies,Fasteners,Assorted Color Push Pins,3.62,2,0.0,1.19,Anna Andreadi,No,2.4299998,1.809999942779541
CA-2014-148950,"12/14/2014","12/19/2014",Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,OFF-FA-10003059,Office Supplies,Fasteners,Assorted Color Push Pins,2.9,2,0.2,0.47,Kelly Williams,No,2.43,1.8125000663567337
CA-2017-100111,"9/20/2017","9/26/2017",Standard Class,Consumer,United States,New York City,New York,10035,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,4.36,2,0.0,1.79,Chuck Magee,No,2.5700002,2.180000066757202
